id,name,category,subcategory,price,rating,brand,features,stock,description
66,Floral Perfume 6,Beauty,Perfumes,580,4.5,Scentique,EDP Premium,29,Premium long-stay perfume.
67,Herbal Hair Oil 7,Beauty,Hair Oils,190,4.1,HairWell,Coconut Blend,57,Strengthens hair roots.
68,Night Repair 8,Beauty,Creams,320,4.4,YouthLab,Night Skin Renewal,33,Boosts skin recovery.
69,Glow Cream 9,Beauty,Creams,240,4,BeautiCare,Aloe Vera,45,Gentle on sensitive skin.
70,Floral Perfume 10,Beauty,Perfumes,590,4.3,Scentique,Luxury Scent,31,Elegant and lasting aroma.
71,Herbal Hair Oil 11,Beauty,Hair Oils,200,4.2,HairWell,Herbal Blend,62,Great for dandruff control.
72,Night Repair 12,Beauty,Creams,310,4.3,YouthLab,Firming Formula,38,Improves skin elasticity.
73,Glow Cream 13,Beauty,Creams,245,3.9,BeautiCare,Soft Glow,50,Daily brightening cream.
74,Floral Perfume 14,Beauty,Perfumes,570,4.4,Scentique,Fresh Bloom,36,Perfect for outdoors.
75,Herbal Hair Oil 15,Beauty,Hair Oils,195,4.1,HairWell,Non-Sticky,54,Lightweight nourishing oil.
76,Night Repair 16,Beauty,Creams,330,4.5,YouthLab,Retinol Boost,30,Advanced anti-aging.
77,Glow Cream 17,Beauty,Creams,255,4,BeautiCare,24h Moisture,48,Perfect for dry skin.
78,Floral Perfume 18,Beauty,Perfumes,600,4.5,Scentique,Rose Essence,34,Sweet floral-rich scent.
79,Herbal Hair Oil 19,Beauty,Hair Oils,185,4,HairWell,Natural Herbs,58,Promotes shine and growth.
80,Night Repair 20,Beauty,Creams,320,4.4,YouthLab,Skin Renewal,35,Improves skin texture.
